Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
2024,"Cade Marlowe","SEA",8,9,0,1,0,0,0.111111111,0.111111111,0,0.285714285,0.25,0.333333333,0.25,0.27250579330656266,,81.85626991772472,0.21344488114118576,0.026602801204376414,0.028319135308265686,0.03665756879193251,"Cade Marlowe",25505,687799
2024,"Michael Helman","MIN",9,10,0,2,0,0,0,0.3,0.2,0.428571428,0.3,0.3,0.5,0.3390603005886078,,122.9685490492811,0.10501820594072342,0.36782656134859004,0.017295261844992638,0.07420268071877227,"Michael Helman",24605,680737
2024,"Cooper Hummel","HOU",6,8,0,0,0,1,0,0.25,0,0,0,0,0,0,,-100,0.20000000298023224,-1.7649663422068635,0.015053659677505493,-0.15318447026356508,"Cooper Hummel",19458,669450
2024,"Samad Taylor","SEA",3,5,0,2,0,0,0,0.2,0,0.5,0.4,0.4,0.4,0.3526842832565308,,138.25545712682901,-0.015784844756126404,0.20307647189271016,0.01373351737856865,0.03960573004619052,"Samad Taylor",22274,669392
2022,"Dylan Carlson","STL",128,488,8,56,42,5,0.092213114,0.19262295,0.143518518,0.281437125,0.236111111,0.31557377,0.379629629,0.3063715726932706,,98.20648192794344,2.276266239117831,1.2593809959744298,0.0073462724685668945,1.8956672219771784,"Dylan Carlson",20126,666185
2022,"Leury García","CHW",97,315,3,38,20,2,0.022222222,0.206349206,0.056666666,0.255319148,0.21,0.233226837,0.266666666,0.22124571407945773,,38.370758836813,0.860623805783689,-20.985013415801436,0.0055533647537231445,-1.1567208866179048,"Leury Garcia",5913,544725
2024,"Chris Roller","MIL",1,1,0,0,0,0,0,1,0,0,0,0,0,0,,-100,0,-0.2519632786954527,0.00412374921143055,-0.022157052256304374,"Chris Roller",23557,676896
2024,"J.P. Martínez","ATL",7,10,0,2,0,1,0,0.4,0.1,0.333333333,0.2,0.2,0.3,0.21361568570137024,,32.25165453237358,0.25272606685757637,-0.5574137506946938,0.0017745941877365112,-0.022992634046158988,"J.P. Martinez",24451,679881
2022,"Yusniel Díaz","BAL",1,1,0,0,0,0,0,1,0,0,0,0,0,0,,-100,0,-0.24160991796865913,0.0013114823959767818,-0.021909680481298148,"Yusniel Diaz",18905,666783
2022,"Vinny Capra","TOR",8,7,0,2,0,0,0.285714285,0.142857142,0,0.25,0.2,0.428571428,0.2,0.32304838725498747,,112.08926647662103,0.09255477925762534,0.18778292627887974,-0.0001830756664276123,0.04294277139457955,"Vinny Capra",25040,681962
2022,"Austin Dean","SFG",3,9,0,1,0,0,0.111111111,0,0,0.375,0.375,0.444444444,0.375,0.3711440430747138,,142.99846479022787,-0.0168889325868804,0.4327271373621577,-0.0012351647019386292,0.07781326244764512,"Austin Dean",18288,621573
2022,"Ka'ai Tom","SFG",1,1,0,0,0,0,0,0,0,0,0,0,0,0,,-100,0,-0.24489299395695183,-0.0032676103292033076,-0.02244394154118364,"Ka'ai Tom",18136,664789
2023,"Billy Hamilton","CHW",3,2,0,2,0,2,0,0.5,0,0,0,0,0,0,,-100,0.45817676186561584,-0.06843341004943826,-0.020576128736138344,-0.002025016505768126,"Billy Hamilton",10199,571740
2024,"Sandro Fabian","TEX",3,5,0,0,0,0,0,0,0,0,0,0,0,0,,-100,0,-1.236844465357604,-0.020620185881853104,-0.11265400761372305,"Sandro Fabian",19910,660758
2024,"DaShawn Keirsey Jr.","MIN",6,14,1,1,1,0,0,0.071428571,0.230769231,0.09090909,0.153846153,0.214285714,0.384615384,0.2608224153518677,,67.93442282584154,-0.015784844756126404,-0.5294412458622175,-0.021376218646764755,-0.00868773466465211,"DaShawn Keirsey Jr.",24496,680577
2024,"Tyler Gentry","KCR",3,5,0,0,0,0,0,0.4,0,0,0,0,0,0,,-100,0,-1.2625093685811186,-0.021618805825710297,-0.11540775574924453,"Tyler Gentry",27784,694355
2022,"Ender Inciarte","NYM",11,8,0,1,0,0,0,0,0,0.125,0.125,0.125,0.125,0.11048135161399841,,-33.679935839511764,-0.004139080177992582,-1.2466567721504258,-0.03294500708580017,-0.10545737798155592,"Ender Inciarte",4922,542255
2022,"Símon Muzziotti","PHI",9,9,0,0,0,0,0,0.222222222,0,0.2,0.142857142,0.25,0.142857142,0.20050794631242752,,23.749789970199135,-0.008330639746418456,-0.805645612121415,-0.04613668844103813,-0.05692586922064134,"Simon Muzziotti",19553,665922
2022,"Travis Jankowski","- - -",44,64,0,11,2,3,0.125,0.15625,0,0.2,0.163636363,0.28125,0.163636363,0.22163783852010965,,42.47014054277966,1.0514370435848832,-3.231396694544922,-0.06469517876394093,-0.1151996561168166,"Travis Jankowski",13768,608671
2022,"Trayce Thompson","- - -",80,255,13,36,41,4,0.125490196,0.364705882,0.251141553,0.373913043,0.255707762,0.352941176,0.506849315,0.3702984005797143,,142.27486904760016,1.1628250321373343,13.687567861750477,-0.07621876895427704,2.350207099082982,"Trayce Thompson",9952,572204
2022,"Marcus Wilson","SEA",3,6,0,1,0,0,0.166666666,0.666666666,0,1,0.2,0.333333333,0.2,0.26209912697474164,,74.06127288936561,0.04924419615417719,-0.1258885080942574,-0.08020268753170967,-0.001714138017280857,"Marcus Wilson",17910,657129
2024,"Brandon Lockridge","SDP",12,12,1,4,1,2,0,0.333333333,0.25,0.142857142,0.166666666,0.166666666,0.416666666,0.24427681664625803,,57.758416760730235,0.4232187978923321,-0.18293484265554816,-0.08988946676254272,0.013094344556250019,"Brandon Lockridge",21496,663604
